   j      e(j)         levid         stwt


  200   0.1073E+01  50600704.0760     65.0
  201   0.1074E+01  50110704.0810     15.0
  202   0.1077E+01  50200704.0820     25.0
  203   0.1077E+01  50310704.0830     35.0
  204   0.1077E+01  50400704.0840     45.0
  205   0.1077E+01  50510704.0850     55.0
  206   0.1077E+01  50600704.0860     65.0
  207   0.1077E+01  50710704.0870     75.0
  208   0.1078E+01  50110704.0910     15.0
  209   0.1080E+01  50200704.0920     25.0
  210   0.1081E+01  50310704.0930     35.0
  211   0.1081E+01  50400704.0940     45.0
  212   0.1081E+01  50510704.0950     55.0
  213   0.1081E+01  50600704.0960     65.0
  214   0.1081E+01  50710704.0970     75.0
  215   0.1081E+01  50800704.0980     85.0
  216   0.1081E+01  50110704.1010     15.0
  217   0.1083E+01  50200704.1020     25.0
  218   0.1083E+01  50310704.1030     35.0
  219   0.1083E+01  50400704.1040     45.0
  220   0.1083E+01  50510704.1050     55.0
  221   0.1083E+01  50600704.1060     65.0
  222   0.1083E+01  50710704.1070     75.0
  223   0.1083E+01  50800704.1080     85.0
-----------------------------------------------------------------------------


iii) State-specific RRC: LS State id, BE(Ry), RRC(T) at 81 T(K)-values
----------------------------------------------------------------------

Table Explanation:
------------------

The list of 81 temperatures in K given at the top.

RRC starts below the line "photoionization: opacity values";
Values listed are - LS State id, BE(Ry), RRC(T) at 81 T(K)-values

Note: LS State id, coded same as in Table ii:  SLLpZZNN.nnlf

  where for the digit spaces,

      S=2S+1, LL=L (numerical), p=parity(= 0 even, 1 odd),

      ZZ=Z-1 for valence electron state & =Z for equivalent electron state,

      NN=target/core state number (icx of Table i),

      nn=n-principle Q.N., l=orbital angular momentum (numerical) of outer
      electron, f=identification code (ignore it)

  Ex: 10100501.0310 -> state=1Se ZZ=5 giving (Z=6), icx=1, nl = 3p

----------------------------------------------------------------------

 z =  8, No of core electron=  7: 81 temperatures for the rrc values

 level-id         BE                 recomb rate coeff(T): values
                 (Ry)       1.00E+01(K) 1.26E+01(K) 1.58E+01(K) 2.00E+01(K)
  2.51E+01(K)  3.16E+01(K)  3.98E+01(K)  5.01E+01(K)  6.31E+01(K)  7.94E+01(K)
  1.00E+02(K)  1.26E+02(K)  1.58E+02(K)  2.00E+02(K)  2.51E+02(K)  3.16E+02(K)
  3.98E+02(K)  5.01E+02(K)  6.31E+02(K)  7.94E+02(K)  1.00E+03(K)  1.26E+03(K)
  1.58E+03(K)  2.00E+03(K)  2.51E+03(K)  3.16E+03(K)  3.98E+03(K)  5.01E+03(K)
  6.31E+03(K)  7.94E+03(K)  1.00E+04(K)  1.26E+04(K)  1.58E+04(K)  2.00E+04(K)
  2.51E+04(K)  3.16E+04(K)  3.98E+04(K)  5.01E+04(K)  6.31E+04(K)  7.94E+04(K)
  1.00E+05(K)  1.26E+05(K)  1.58E+05(K)  2.00E+05(K)  2.51E+05(K)  3.16E+05(K)
  3.98E+05(K)  5.01E+05(K)  6.31E+05(K)  7.94E+05(K)  1.00E+06(K)  1.26E+06(K)
  1.58E+06(K)  2.00E+06(K)  2.51E+06(K)  3.16E+06(K)  3.98E+06(K)  5.01E+06(K)
  6.31E+06(K)  7.94E+06(K)  1.00E+07(K)  1.26E+07(K)  1.58E+07(K)  2.00E+07(K)
  2.51E+07(K)  3.16E+07(K)  3.98E+07(K)  5.01E+07(K)  6.31E+07(K)  7.94E+07(K)
  1.00E+08(K)  1.26E+08(K)  1.58E+08(K)  2.00E+08(K)  2.51E+08(K)  3.16E+08(K)
  3.98E+08(K)  5.01E+08(K)  6.31E+08(K)  7.94E+08(K)  1.00E+09(K) 

 photoionization: opacity values
 50010701.0300 -3.3304E-01  3.9734E-15  3.5438E-15  3.1611E-15  2.8205E-15
  2.5172E-15 2.2474E-15 2.0074E-15 1.7941E-15 1.6045E-15 1.4363E-15 1.2872E-15
  1.1551E-15 1.0385E-15 9.3573E-16 8.4547E-16 7.6657E-16 6.9805E-16 6.3907E-16
  5.8896E-16 5.4719E-16 5.1339E-16 4.8735E-16 4.6904E-16 4.5858E-16 4.5626E-16
  4.6254E-16 4.7801E-16 5.0331E-16 5.3923E-16 5.8705E-16 6.5238E-16 7.6241E-16
  9.9972E-16 1.5061E-15 2.3944E-15 3.6220E-15 4.9667E-15 6.1381E-15 6.9179E-15
  7.2254E-15 7.1001E-15 6.6061E-15 5.9337E-15 5.1680E-15 4.3473E-15 3.6123E-15
  2.9556E-15 2.3556E-15 1.8579E-15 1.4526E-15 1.1389E-15 8.8925E-16 6.8238E-16
  5.2907E-16 4.0995E-16 2.6539E-16 2.0094E-16 1.5192E-16 1.1057E-16 8.2941E-17
  6.2151E-17 4.6558E-17 3.4894E-17 2.6174E-17 1.9659E-17 1.4795E-17 1.1165E-17
  8.4596E-18 6.4367E-18 4.9241E-18 3.7902E-18 2.9390E-18 2.2966E-18 1.8109E-18
  1.4407E-18 1.1572E-18 9.3881E-19 7.6921E-19 6.3628E-19 5.3121E-19 4.4734E-19
 50010701.0400 -1.3010E-01  1.4814E-16  1.3162E-16  1.1684E-16  1.0362E-16
  9.1777E-17 8.1156E-17 7.1618E-17 6.3042E-17 5.5315E-17 4.8343E-17 4.2040E-17
  3.6335E-17 3.1166E-17 2.6487E-17 2.2265E-17 1.8481E-17 1.5140E-17 1.2264E-17
  9.9045E-18 8.1448E-18 7.1022E-18 6.9330E-18 7.8326E-18 1.0032E-17 1.3788E-17
  1.9370E-17 2.7039E-17 3.7020E-17 4.9489E-17 6.4563E-17 8.2453E-17 1.0533E-16
