   j      e(j)         levid         stwt


  237  -0.1000E-01  10500501.1050     11.0
  238  -0.1000E-01  30500501.1050     33.0
  239  -0.1000E-01  10510501.1040     11.0
  240  -0.1000E-01  10610501.1060     13.0
  241  -0.1000E-01  30510501.1040     33.0
  242  -0.1000E-01  30610501.1060     39.0
  243  -0.1000E-01  10600501.0870     13.0
  244  -0.1000E-01  10700501.1070     15.0
  245  -0.9999E-02  30600501.0870     39.0
  246  -0.9999E-02  30700501.1070     45.0
  247   0.1230E+00  30010604.0000      3.0
  248   0.2478E+00  30010502.0310      3.0
  249   0.3037E+00  30010502.0410      3.0
  250   0.3383E+00  30010502.0510      3.0
  251   0.3564E+00  30010502.0610      3.0
  252   0.3667E+00  30010502.0710      3.0
  253   0.3731E+00  30010502.0810      3.0
  254   0.3773E+00  30010502.0910      3.0
  255   0.3803E+00  30010502.1010      3.0
  256   0.7943E+00  10010505.0310      1.0
  257   0.9074E+00  10010505.0410      1.0
  258   0.9508E+00  10010505.0510      1.0
  259   0.9709E+00  10010505.0610      1.0
  260   0.9820E+00  10010505.0710      1.0
  261   0.9887E+00  10010505.0810      1.0
  262   0.9932E+00  10010505.0910      1.0
  263   0.9962E+00  10010505.1010      1.0

-----------------------------------------------------------------------------

iii) State-specific RRC: LS State id, BE(Ry), RRC(T) at 81 T(K)-values
----------------------------------------------------------------------

Table Explanation:
------------------

The list of 81 temperatures in K given at the top.

RRC starts below the line "photoionization: opacity values";
Values listed are - LS State id, BE(Ry), RRC(T) at 81 T(K)-values

Note: LS State id, coded same as in Table ii:  SLLpZZNN.nnlf

  where for the digit spaces,
      S=2S+1, LL=L (numerical), p=parity(= 0 even, 1 odd),
      ZZ=Z-1 for valence electron state & =Z for equivalent electron state,
      NN=target/core state number (icx of Table i),
      nn=n-principle Q.N., l=orbital angular momentum (numerical) of outer
      electron, f=identification code (ignore it)
  Ex: 10100501.0310 -> state=1Se ZZ=5 giving (Z=6), icx=1, nl = 3p

------------------------------------------------------------------

 z =  6, No of core electron=  5: 81 temperatures for the rrc values

 level-id         BE                 recomb rate coeff(T): values
                 (Ry)       1.00E+01(K) 1.26E+01(K) 1.58E+01(K) 2.00E+01(K)
  2.51E+01(K)  3.16E+01(K)  3.98E+01(K)  5.01E+01(K)  6.31E+01(K)  7.94E+01(K)
  1.00E+02(K)  1.26E+02(K)  1.58E+02(K)  2.00E+02(K)  2.51E+02(K)  3.16E+02(K)
  3.98E+02(K)  5.01E+02(K)  6.31E+02(K)  7.94E+02(K)  1.00E+03(K)  1.26E+03(K)
  1.58E+03(K)  2.00E+03(K)  2.51E+03(K)  3.16E+03(K)  3.98E+03(K)  5.01E+03(K)
  6.31E+03(K)  7.94E+03(K)  1.00E+04(K)  1.26E+04(K)  1.58E+04(K)  2.00E+04(K)
