#https://home.strw.leidenuniv.nl/~ewine/photo/radiation_fields.html
# Numerical radiation field:  habing1968
# wavelength: nm
# intensity: photons.s-1.cm-2.nm-1
# wavelength intensity
183.20000 1.10099e+06
184.20000 1.10700e+06
185.20000 1.11301e+06
186.20000 1.11902e+06
187.20000 1.12503e+06
188.20000 1.13103e+06
189.20000 1.13704e+06
190.20000 1.14305e+06
191.20000 1.14906e+06
192.20000 1.15507e+06
193.20000 1.16108e+06
194.20000 1.16709e+06
195.20000 1.17310e+06
196.20000 1.17911e+06
197.20000 1.18512e+06
198.20000 1.19113e+06
199.20000 1.19714e+06
200.20000 1.20315e+06
201.20000 1.20916e+06
202.20000 1.21517e+06
203.20000 1.22118e+06
204.20000 1.22719e+06
205.20000 1.23320e+06
206.20000 1.23921e+06
207.20000 1.24522e+06
208.20000 1.25123e+06
209.20000 1.25724e+06
210.20000 1.26325e+06
211.20000 1.26926e+06
212.20000 1.27527e+06
213.20000 1.28128e+06
214.20000 1.28729e+06
215.20000 1.29330e+06
216.20000 1.29931e+06
217.20000 1.30532e+06
218.20000 1.31133e+06
219.20000 1.31734e+06
220.20000 1.32335e+06
221.20000 1.32936e+06
222.20000 1.33537e+06
223.20000 1.34138e+06
224.20000 1.34739e+06
225.20000 1.35340e+06
226.20000 1.35941e+06
227.20000 1.36542e+06
228.20000 1.37142e+06
229.20000 1.37743e+06
230.20000 1.38344e+06
231.20000 1.38945e+06
232.20000 1.39546e+06
233.20000 1.40147e+06
234.20000 1.40748e+06
235.20000 1.41349e+06
236.20000 1.41950e+06
237.20000 1.42551e+06
238.20000 1.43152e+06
239.20000 1.43753e+06
240.20000 1.44354e+06
241.20000 1.44955e+06
242.20000 1.45556e+06
243.20000 1.46157e+06
244.20000 1.46758e+06
245.20000 1.47359e+06
246.20000 1.47960e+06
247.20000 1.48561e+06
248.20000 1.49162e+06
249.20000 1.49763e+06
250.20000 1.50364e+06
251.20000 1.50965e+06
252.20000 1.51566e+06
253.20000 1.52167e+06
254.20000 1.52768e+06
255.20000 1.53369e+06
256.20000 1.53970e+06
257.20000 1.54571e+06
258.20000 1.55172e+06
259.20000 1.55773e+06
260.20000 1.56374e+06
261.20000 1.56975e+06
262.20000 1.57576e+06
263.20000 1.58177e+06
264.20000 1.58778e+06
265.20000 1.59379e+06
266.20000 1.59980e+06
267.20000 1.60581e+06
268.20000 1.61181e+06
269.20000 1.61782e+06
270.20000 1.62383e+06
271.20000 1.62984e+06
272.20000 1.63585e+06
273.20000 1.64186e+06
274.20000 1.64787e+06
275.20000 1.65388e+06
276.20000 1.65989e+06
277.20000 1.66590e+06
278.20000 1.67191e+06
279.20000 1.67792e+06
280.20000 1.68393e+06
281.20000 1.68994e+06
282.20000 1.69595e+06
283.20000 1.70196e+06
284.20000 1.70797e+06
285.20000 1.71398e+06
286.20000 1.71999e+06
287.20000 1.72600e+06
288.20000 1.73201e+06
289.20000 1.73802e+06
290.20000 1.74403e+06
291.20000 1.75004e+06
292.20000 1.75605e+06
293.20000 1.76206e+06
294.20000 1.76807e+06
295.20000 1.77408e+06
296.20000 1.78009e+06
297.20000 1.78610e+06
298.20000 1.79211e+06
299.20000 1.79812e+06
300.20000 1.80413e+06
301.20000 1.81014e+06
302.20000 1.81615e+06
303.20000 1.82216e+06
304.20000 1.82817e+06
305.20000 1.83418e+06
306.20000 1.84019e+06
307.20000 1.84620e+06
308.20000 1.85220e+06
309.20000 1.85821e+06
310.20000 1.86422e+06
311.20000 1.87023e+06
312.20000 1.87624e+06
313.20000 1.88225e+06
314.20000 1.88826e+06
315.20000 1.89427e+06
316.20000 1.90028e+06
317.20000 1.90629e+06
318.20000 1.91230e+06
319.20000 1.91831e+06
320.20000 1.92432e+06
321.20000 1.93033e+06
322.20000 1.93634e+06
323.20000 1.94235e+06
324.20000 1.94836e+06
325.20000 1.95437e+06
326.20000 1.96038e+06
327.20000 1.96639e+06
328.20000 1.97240e+06
329.20000 1.97841e+06
